fold,sample_name,true_label,pred_label,correct,probabilities_json
1,1nfu_B_1_100000,1,1,1,"[0.4194151759147644, 0.5805848240852356]"
1,1mox_C_1_100000,1,1,1,"[0.4580589830875397, 0.5419410467147827]"
1,2y5f_L_1_100000,1,1,1,"[0.42978647351264954, 0.5702135562896729]"
1,2bz6_L_1_100000,1,1,1,"[0.4245239496231079, 0.5754760503768921]"
1,4gs7_D_1_100000,0,0,1,"[0.522371768951416, 0.477628231048584]"
1,1g1t_A_119_157,1,1,1,"[0.41899925470352173, 0.5810007452964783]"
1,1pfx_L_47_86,1,1,1,"[0.4237319231033325, 0.5762680768966675]"
1,1xka_L_87_139,1,1,1,"[0.42942267656326294, 0.5705773234367371]"
1,1uzk_A_1486_1528,1,1,1,"[0.4164290428161621, 0.5835709571838379]"
1,2ayl_A_32_73,1,1,1,"[0.436995267868042, 0.563004732131958]"
1,1qub_A_244_326,0,0,1,"[0.5187848806381226, 0.48121514916419983]"
1,1md8_A_358_433,0,0,1,"[0.5148700475692749, 0.4851299822330475]"
1,1ok3_A_129_190,0,0,1,"[0.5060081481933594, 0.493991881608963]"
1,2ok5_A_9_76,0,0,1,"[0.5098741054534912, 0.4901259243488312]"
1,2z3q_B_1_78,0,0,1,"[0.5182572603225708, 0.481742799282074]"
1,2qy0_A_358_446,0,0,1,"[0.5191663503646851, 0.48083361983299255]"
2,1xdt_R_1_100000,1,1,1,"[0.450521320104599, 0.5494787096977234]"
2,1aut_L_49_96,1,1,1,"[0.470205157995224, 0.5297948122024536]"
2,1aut_L_97_146,1,1,1,"[0.453261137008667, 0.546738862991333]"
2,1fak_L_87_143,1,1,1,"[0.4646241366863251, 0.5353758931159973]"
2,1dva_L_42_86,1,1,1,"[0.4600208103656769, 0.5399791598320007]"
2,1dva_L_87_142,1,1,1,"[0.46427059173583984, 0.5357294082641602]"
2,1pfx_L_87_146,1,1,1,"[0.46573853492736816, 0.5342614650726318]"
2,1szb_A_124_168,1,1,1,"[0.45467662811279297, 0.545323371887207]"
2,1dx5_I_345_387,1,1,1,"[0.4570145905017853, 0.5429854393005371]"
2,1qub_A_184_243,0,0,1,"[0.5204709768295288, 0.4795290231704712]"
2,4jhs_A_204_262,0,0,1,"[0.5093264579772949, 0.4906735122203827]"
2,2o39_C_1_62,0,0,1,"[0.5178911089897156, 0.4821088910102844]"
2,2ok5_A_138_199,0,0,1,"[0.516437292098999, 0.4835626780986786]"
2,2ok5_A_77_137,0,0,1,"[0.5155660510063171, 0.48443397879600525]"
2,2b5i_D_103_165,0,0,1,"[0.5050904154777527, 0.4949096441268921]"
2,1zjk_A_366_440,0,0,1,"[0.5175144076347351, 0.4824855923652649]"
3,1jbu_L_1_100000,1,1,1,"[0.383928507566452, 0.6160714626312256]"
3,1jl9_A_1_100000,1,1,1,"[0.3807092607021332, 0.6192907691001892]"
